,palavra,doc|ocorrencia
0,documento,"[(1, 1), (26, 1), (58, 1), (80, 1)]"
1,páginas,"[(1, 1), (26, 1), (58, 1), (80, 1)]"
2,vazado,"[(1, 1), (26, 1), (58, 1), (80, 1)]"
3,onu,"[(1, 1), (6, 1), (26, 1), (34, 1), (58, 1), (63, 1), (79, 1), (80, 1)]"
4,calcula,"[(1, 1), (26, 1), (58, 1), (80, 1)]"
5,milhões,"[(1, 1), (26, 1), (32, 1), (33, 1), (50, 1), (58, 1), (61, 1), (80, 1), (101, 1), (102, 1)]"
6,venezuelanos,"[(1, 1), (26, 1), (58, 1), (80, 1)]"
7,cada,"[(1, 1), (26, 1), (58, 1), (80, 1)]"
8,quatro,"[(1, 1), (26, 1), (58, 1), (80, 1)]"
9,pessoas,"[(1, 1), (5, 1), (26, 1), (35, 1), (58, 1), (78, 1), (80, 1)]"
10,país,"[(1, 1), (26, 1), (58, 1), (80, 1)]"
11,precisem,"[(1, 1), (26, 1), (58, 1), (80, 1)]"
12,ajuda,"[(1, 1), (26, 1), (58, 1), (80, 1)]"
13,humanitária,"[(1, 1), (26, 1), (58, 1), (80, 1)]"
14,urgente,"[(1, 1), (26, 1), (58, 1), (80, 1)]"
15,volta,"[(2, 1), (75, 1)]"
16,israel,"[(2, 1), (75, 1)]"
17,onde,"[(2, 1), (19, 1), (44, 1), (62, 1), (75, 1), (120, 1)]"
18,fez,"[(2, 1), (74, 1), (75, 1)]"
19,parte,"[(2, 1), (75, 1)]"
20,comitiva,"[(2, 1), (75, 1)]"
21,pai,"[(2, 1), (75, 1)]"
22,flávio,"[(2, 1), (9, 1), (12, 1), (59, 1), (70, 1), (75, 1), (99, 1)]"
23,bolsonaro,"[(2, 1), (4, 1), (9, 1), (11, 1), (12, 1), (15, 1), (23, 1), (24, 1), (29, 1), (30, 1), (39, 1), (42, 1), (48, 1), (55, 1), (59, 1), (64, 1), (70, 1), (73, 1), (75, 1), (77, 1), (84, 1), (93, 1), (94, 1), (99, 1), (107, 1), (115, 1), (117, 1), (119, 1), (121, 1)]"
24,disse,"[(2, 1), (4, 1), (11, 1), (12, 1), (13, 1), (21, 1), (44, 1), (54, 1), (59, 1), (75, 1), (77, 1), (82, 1), (99, 1), (105, 1), (119, 1)]"
25,publicação,"[(2, 1), (75, 1)]"
26,twitter,"[(2, 1), (42, 1), (75, 1)]"
27,contra,"[(2, 1), (5, 1), (18, 2), (35, 1), (43, 1), (66, 2), (75, 1), (78, 1), (111, 2), (117, 1)]"
28,grupo,"[(2, 1), (12, 2), (32, 1), (50, 1), (59, 2), (75, 1), (99, 2), (101, 1)]"
29,terrorista,"[(2, 1), (12, 1), (53, 1), (59, 1), (75, 1), (99, 1), (110, 1)]"
30,hamas,"[(2, 1), (12, 1), (59, 1), (75, 1), (99, 1)]"
31,apagada,"[(2, 1), (75, 1)]"
32,página,"[(2, 1), (75, 1)]"
33,virada,"[(2, 1), (75, 1)]"
34,ditador,"[(3, 1), (76, 1), (98, 1)]"
35,nicolás,"[(3, 1), (5, 1), (18, 1), (35, 1), (66, 1), (76, 1), (78, 1), (98, 1), (111, 1)]"
36,maduro,"[(3, 1), (5, 1), (18, 1), (35, 1), (66, 1), (76, 1), (78, 1), (98, 1), (111, 1)]"
37,despacha,"[(3, 1), (76, 1)]"
38,palácio,"[(3, 1), (36, 1), (51, 1), (76, 1), (83, 1), (108, 1)]"
39,miraflores,"[(3, 1), (76, 1)]"
40,sede,"[(3, 1), (76, 1)]"
41,poder,"[(3, 1), (76, 1)]"
42,executivo,"[(3, 1), (76, 1)]"
43,venezuela,"[(3, 1), (76, 1), (112, 1)]"
44,menos,"[(3, 1), (76, 1)]"
45,duas,"[(3, 1), (76, 1)]"
46,semanas,"[(3, 1), (76, 1)]"
47,relata,"[(3, 1), (36, 1), (51, 1), (71, 1), (76, 1), (83, 1), (108, 1)]"
48,duda,"[(3, 1), (76, 1)]"
49,teixeira,"[(3, 1), (76, 1)]"
50,steve,"[(4, 1), (77, 1)]"
51,bannon,"[(4, 1), (77, 1)]"
52,estrategista,"[(4, 1), (77, 1)]"
53,donald,"[(4, 1), (77, 1)]"
54,trump,"[(4, 1), (77, 1)]"
55,folha,"[(4, 1), (11, 1), (23, 1), (32, 1), (36, 1), (48, 1), (50, 1), (51, 1), (77, 1), (83, 1), (84, 1), (101, 1), (108, 1), (121, 1)]"
56,inaceitável,"[(4, 1), (77, 1)]"
57,vice,"[(4, 1), (72, 1), (77, 1)]"
58,presidente,"[(4, 1), (24, 1), (55, 1), (77, 1), (107, 1), (113, 1)]"
59,hamilton,"[(4, 1), (77, 1), (115, 1)]"
60,mourão,"[(4, 1), (77, 1), (115, 1)]"
61,manter,"[(4, 1), (77, 1)]"
62,postura,"[(4, 1), (77, 1)]"
63,antagônica,"[(4, 1), (77, 1)]"
64,jair,"[(4, 1), (11, 1), (15, 1), (23, 1), (24, 1), (29, 1), (30, 1), (39, 1), (42, 1), (48, 1), (55, 1), (64, 1), (73, 1), (77, 1), (84, 1), (93, 1), (94, 1), (107, 1), (115, 1), (117, 1), (119, 1), (121, 1)]"
65,março,"[(5, 1), (35, 1), (78, 1)]"
66,º,"[(5, 1), (35, 1), (73, 1), (78, 1)]"
67,abril,"[(5, 1), (35, 1), (78, 1), (89, 1), (113, 1)]"
68,presas,"[(5, 1), (35, 1), (78, 1)]"
69,ditadura,"[(5, 1), (18, 1), (35, 1), (66, 1), (78, 1), (111, 1)]"
70,protestar,"[(5, 1), (35, 1), (78, 1)]"
71,falta,"[(5, 1), (35, 1), (72, 1), (78, 1)]"
72,luz,"[(5, 1), (35, 1), (78, 1)]"
73,água,"[(5, 1), (35, 1), (78, 1)]"
74,obteve,"[(6, 1), (34, 1), (63, 1), (79, 1)]"
75,íntegra,"[(6, 1), (34, 1), (63, 1), (79, 1)]"
76,telegrama,"[(6, 1), (34, 1), (63, 1), (79, 1)]"
77,encaminhado,"[(6, 1), (34, 1), (63, 1), (79, 1)]"
78,itamaraty,"[(6, 1), (34, 1), (63, 1), (79, 1)]"
79,argentino,"[(6, 1), (34, 1), (63, 1), (79, 1)]"
80,fabian,"[(6, 1), (34, 1), (63, 1), (79, 1)]"
81,salvioli,"[(6, 1), (34, 1), (63, 1), (79, 1)]"
82,relator,"[(6, 1), (34, 1), (63, 1), (79, 1), (116, 1)]"
83,independente,"[(6, 1), (34, 1), (63, 1), (79, 1)]"
